Period,Category,Store,Address,Length
1/1/94,Accessories,Claire's Boutique,E114,4
1/1/94,Accessories,Claire's Boutique,N394,4
1/1/94,Accessories,Fossil,E262,4
1/1/94,Accessories,Hearts Desire/Brighton Shoes,E168,4
1/1/94,Accessories,Just Silver,E314,4
1/1/94,Accessories,Keeping Time,N365,4
1/1/94,Accessories,Sox Appeal,W391,4
1/1/94,Accessories,Sunglass Hut,N294,4
1/1/94,Accessories,Sunglass Hut,W108,4
1/1/94,Accessories,Sunglass Hut,E266,4
1/1/94,Accessories,Sunglass Hut,W360,4
1/1/94,Accessories,Watch World International,E275,4
1/1/94,Apparel-Children'S,abercrombie,W209,4
1/1/94,Apparel-Children'S,Authentic Northern Reflections,W144,4
1/1/94,Apparel-Children'S,Baby Place,N276,4
1/1/94,Apparel-Children'S,Children's Place,S110,4
1/1/94,Apparel-Children'S,Gap Kids/baby Gap,S160,4
1/1/94,Apparel-Children'S,GymBaby,N288,4
1/1/94,Apparel-Children'S,Gymboree,S140,4
1/1/94,Apparel-Children'S,"Kids ""R"" Us",E212,4
1/1/94,Apparel-Children'S,Limited Too,W200,4
1/1/94,Apparel-Children'S,Northern Experience,S200,4
1/1/94,Apparel-Children'S,Old Navy Clothing,E248,4
1/1/94,Apparel-Children'S,Zutopia,E268,4
1/1/94,Apparel-Men'S,Desmond's Formalwear,N364,4
1/1/94,Apparel-Men'S,Gap Men,S132,4
1/1/94,Apparel-Men'S,InSeta,N392,4
1/1/94,Apparel-Men'S,Mr. Rags,N275,4
1/1/94,Apparel-Men'S,Pacific Sunwear,N144,4
1/1/94,Apparel-Men'S,Ralph Marlin,E208,4
1/1/94,Apparel-Men'S,Structure,W208,4
1/1/94,Luggage,Bentley's Luggage & Gifts,W158,4
1/1/94,Luggage,Elanté,E163,4
1/1/94,Luggage,Trappings,W274,4
1/1/94,Convenience,Dollar Tree,E336,4
1/1/94,Convenience,The Drug Store,E200,4
1/1/94,Convenience,Holiday Convenience Store,W123,4
1/1/94,Convenience,Street Corner News,E122,4
1/1/94,Convenience,Street Corner News,N122,4
1/1/94,Trademark,Disney Store,S258,4
1/1/94,Trademark,Nordic Track,W133,4
1/1/94,Trademark,Warner Bros. Studio Store,W236,4
1/1/94,Photography,Amazing Pictures,N366,4
1/1/94,Photography,Glamour Kids,E108,4
1/1/94,Photography,Glamour Shots,E104,4
1/1/94,Photography,Photos To Go,W110,4
1/1/94,Photography,Ritz Camera One Hour Photo,N114,4
1/1/94,Photography,Ritz Camera One Hour Photo,N367,4
1/1/94,Optical,LensCrafters,E344,4
1/1/94,Optical,LensCrafters Optique,W296,4
1/1/94,Optical,Pearle Vision Express,N236,4
1/1/94,Jewelry,"Bailey, Banks & Biddle",E142,4
1/1/94,Jewelry,Bergstrom Jewelers,W132,4
1/1/94,Jewelry,Black Hills Gold Jewelers,E357,4
1/1/94,Jewelry,Elegant Illusions,N218,4
1/1/94,Jewelry,Goodman Jewelers,N174,4
1/1/94,Jewelry,Gordon's Jewelers,E296,4
1/1/94,Jewelry,Helzberg Diamonds,W154,4
1/1/94,Jewelry,Hoff Jewelry Company,S292,4
1/1/94,Jewelry,King Jewelers,E280,4
1/1/94,Jewelry,Lundstrom Jewelers,E112,4
1/1/94,Jewelry,Osterman's Jewelers,W278,4
1/1/94,Jewelry,Ultra,N124,4
1/1/94,Jewelry,Wedding Day Jewelers,W268,4
1/1/94,Jewelry,Whitehall Jewellers,N127,4
1/1/94,Jewelry,Zales,E240,4
1/1/94,Home Furnishings,The Afternoon,S290,4
1/1/94,Home Furnishings,Cabin Fever,W372,4
1/1/94,Home Furnishings,The Cutlery,W385,4
1/1/94,Home Furnishings,Eddie Bauer Home Collection,W230,4
1/1/94,Home Furnishings,INDULGE by Hillcrest,S212,4
1/1/94,Home Furnishings,Into the Woods,S225,4
1/1/94,Home Furnishings,Gadgets & More by Kitchen Collection,N312,4
1/1/94,Home Furnishings,Linens-N-Things,E338,4
1/1/94,Home Furnishings,Liten Hus,S208,4
1/1/94,Home Furnishings,Mi Casa,S112,4
1/1/94,Home Furnishings,Pottery Barn,W260,4
1/1/94,Home Furnishings,Remington Shavers & Knives,E372,4
1/1/94,Home Furnishings,Seasonal Concepts,N120,4
1/1/94,Home Furnishings,Select Comfort Air Sleep Systems,E292,4
1/1/94,Home Furnishings,This End Up,W135,4
1/1/94,Home Furnishings,The Tiffany Collection,W288,4
1/1/94,Home Furnishings,Williams-Sonoma,W262,4
1/1/94,Home Furnishings,Wood Factory Furniture and Home Decor,N270,4
1/1/94,Accessories,Afterthoughts,N192,4
1/1/94,Accessories,Afterthoughts,W390,4
1/1/94,Accessories,Bead It!,W383,4
1/1/94,Health & Beauty,Basin,E154,4
1/1/94,Health & Beauty,Bath & Body Works,S143,4
1/1/94,Health & Beauty,Bath & Body Works,N172,4
1/1/94,Health & Beauty,The Body Shop,W148,4
1/1/94,Health & Beauty,Bodyline Mediteranean Spa,S300,4
1/1/94,Health & Beauty,Crabtree and Evelyn,S170,4
1/1/94,Health & Beauty,General Nutrition Center,N258,4
1/1/94,Health & Beauty,L.A. Nails Salon,W364,4
1/1/94,Health & Beauty,Mastercuts,E368,4
1/1/94,Health & Beauty,Nail Trix,E363,4
1/1/94,Health & Beauty,Origins,W292,4
1/1/94,Health & Beauty,Perfumania,N219,4
1/1/94,Health & Beauty,Perfumania,S168,4
1/1/94,Health & Beauty,Progressions Aveda Salon,W134,4
1/1/94,Health & Beauty,Regis Hairstylists,E152,4
1/1/94,Health & Beauty,Trade Secret,W138,4
1/1/94,Health & Beauty,Victoria's Secret Fragrance,S154,4
1/1/94,Gifts,Sanrio Gift Gate,E290,4
1/1/94,Gifts,Seasonal Concepts,N120,4
1/1/94,Gifts,Sharper Image,S206,4
1/1/94,Gifts,Spencer Gifts,N368,4
1/1/94,Gifts,Spirit of the Red Horse,W387,4
1/1/94,Gifts,St. Patrick's Guild,N116,4
1/1/94,Gifts,Stamp Away,E304,4
1/1/94,Gifts,Store of Knowlege-KTCA 2,N268,4
1/1/94,Gifts,Successories,E156,4
1/1/94,Gifts,Things Remembered,W362,4
1/1/94,Gifts,Tomorrow's Treasures,E145,4
1/1/94,Gifts,The Väase,E315,4
1/1/94,Gifts,White Barn Candle,W206,4
1/1/94,Gifts,Wicks 'N' Sticks,E282,4
1/1/94,Gifts,Wild Bird Store,S224,4
1/1/94,Gifts,Yankee Candle,N286,4
1/1/94,Hobby,Charlie Novelties Beer & Collectible,N168,4
1/1/94,Hobby,CJ's Casino Emporium,E370,4
1/1/94,Hobby,Crazy About Cars,E246,4
1/1/94,Hobby,Field of Dreams,E160,4
1/1/94,Hobby,Magic Max,E348,4
1/1/94,Hobby,Pro Motorsports,N308,4
1/1/94,Hobby,Runkel Brothers American Garage,N314,4
1/1/94,Gifts,The Fun Shop,N378,4
1/1/94,Gifts,Hologram Land,E284,4
